Drug_Reference_ID,NDC,Drug_Name,Generic_Name,Brand_Name,Strength,Strength_Unit,Dosage_Form,Route,Manufacturer,Drug_Class,Active_Flag,Effective_Date,End_Date,Source_System
DRG00001,26801997786,Ozempic,Semaglutide,Ozempic,25,mcg,Cream,Oral,Meridian Pharma,Endocrine,Y,2025-02-11,,DrugReferenceHub
DRG00002,15035164887,Glucophage,Metformin,Glucophage,100,mcg,Capsule,Oral,Meridian Pharma,Respiratory,Y,2024-09-09,,DrugReferenceHub
DRG00003,67124608759,Lipitor,Atorvastatin,Lipitor,20,mg,Capsule,Subcutaneous,Summit Therapeutics,Respiratory,Y,2025-09-21,,DrugReferenceHub
DRG00004,18083108393,Prinivil,Lisinopril,Prinivil,5,mcg,Suspension,Subcutaneous,Summit Therapeutics,Lipid Lowering,Y,2025-11-05,,DrugReferenceHub
DRG00005,78929224734,Norvasc,Amlodipine,Norvasc,100,mg/mL,Solution,Inhalation,Atlas Medications,Lipid Lowering,Y,2024-10-27,,DrugReferenceHub
DRG00006,92859713640,Cozaar,Losartan,Cozaar,5,mcg,Inhaler,Inhalation,Evergreen Labs,Antidepressant,Y,2023-06-27,,DrugReferenceHub
DRG00007,93381483220,Prilosec,Omeprazole,Prilosec,250,mg,Tablet,Intravenous,BlueRiver Pharmaceuticals,Lipid Lowering,Y,2024-05-25,,DrugReferenceHub
DRG00008,51498372568,Neurontin,Gabapentin,Neurontin,40,units/mL,Injection,Intravenous,Meridian Pharma,Antidiabetic,Y,2023-09-14,,DrugReferenceHub
DRG00009,18032796468,Synthroid,Levothyroxine,Synthroid,500,mg/mL,Suspension,Subcutaneous,Summit Therapeutics,Antidiabetic,Y,2024-07-08,,DrugReferenceHub
DRG00010,69287415359,Zoloft,Sertraline,Zoloft,50,units/mL,Cream,Intravenous,BlueRiver Pharmaceuticals,Antibiotic,Y,2025-04-02,,DrugReferenceHub
DRG00011,64375X09240,Crestor,Rosuvastatin,Crestor,5,units/mL,Cream,Transdermal,Evergreen Labs,Antidiabetic,N,2023-06-24,2025-11-16,DrugReferenceHub
DRG00012,73825238231,Lexapro,Escitalopram,Lexapro,100,units/mL,Capsule,Topical,Atlas Medications,Antibiotic,Y,2024-01-10,,DrugReferenceHub
DRG00013,12664783645,Singulair,Montelukast,Singulair,50,units/mL,Inhaler,Subcutaneous,Beacon Life Sciences,Endocrine,Y,2022-03-08,,DrugReferenceHub
DRG00014,33808260085,Cymbalta,Duloxetine,Cymbalta,5,units/mL,Injection,Intravenous,Redwood Pharma,Gastrointestinal,Y,2024-12-12,,DrugReferenceHub
DRG00015,68484176329,Plavix,Clopidogrel,Plavix,250,units/mL,Injection,Oral,Summit Therapeutics,Antidiabetic,Y,2023-12-18,,DrugReferenceHub
DRG00016,47253753474,Protonix,Pantoprazole,Protonix,40,mg/mL,Tablet,Transdermal,Evergreen Labs,Antidiabetic,Y,2023-11-04,,DrugReferenceHub
DRG00017,23885768970,Microzide,Hydrochlorothiazide,Microzide,10,mcg,Patch,Subcutaneous,Northstar Pharma,Antihypertensive,Y,2024-02-18,,DrugReferenceHub
DRG00018,77464349998,Eliquis,Apixaban,Eliquis,5,units/mL,Inhaler,Transdermal,Atlas Medications,Antibiotic,Y,2022-11-12,,DrugReferenceHub
DRG00019,52238926923,Jardiance,Empagliflozin,Jardiance,5,mcg,Tablet,Inhalation,Northstar Pharma,Endocrine,Y,2024-05-24,,DrugReferenceHub
DRG00020,40802338292,Januvia,Sitagliptin,Januvia,50,units/mL,Patch,Transdermal,Atlas Medications,Neurologic,Y,2024-12-25,,DrugReferenceHub
DRG00021,77675552758,Lantus,Insulin Glargine,Lantus,250,mcg,Cream,Oral,Summit Therapeutics,Lipid Lowering,Y,2023-05-27,,DrugReferenceHub
DRG00022,96682671088,Humalog,Insulin Lispro,Humalog,500,mcg,Cream,Intravenous,Redwood Pharma,Endocrine,N,2022-07-11,2023-05-27,DrugReferenceHub
DRG00023,54154506357,Prozac,Fluoxetine,Prozac,20,mcg,Capsule,Topical,Summit Therapeutics,Antidiabetic,Y,2023-07-20,,DrugReferenceHub
DRG00024,25964239840,Wellbutrin,Bupropion,Wellbutrin,25,mg/mL,Suspension,Subcutaneous,Crescent Therapeutics,Anticoagulant,Y,2022-10-18,,DrugReferenceHub
DRG00025,35743278195,Coreg,Carvedilol,Coreg,50,mcg,Inhaler,Intravenous,Redwood Pharma,Antidepressant,Y,2023-07-01,,DrugReferenceHub
DRG00026,24069146482,Lopressor,Metoprolol,Lopressor,25,mcg,Injection,Topical,BlueRiver Pharmaceuticals,Respiratory,Y,2024-07-05,,DrugReferenceHub
DRG00027,87471341583,Lasix,Furosemide,Lasix,10,mg/mL,Cream,Oral,Atlas Medications,Lipid Lowering,Y,2022-06-15,,DrugReferenceHub
DRG00028,54705453523,Aldactone,Spironolactone,Aldactone,1000,mg/mL,Solution,Intravenous,Northstar Pharma,Gastrointestinal,Y,2024-12-28,,DrugReferenceHub
DRG00029,60844107060,Ventolin,Albuterol,Ventolin,50,mg,Tablet,Transdermal,Crescent Therapeutics,Antibiotic,Y,2022-11-25,,DrugReferenceHub
DRG00030,39273980031,Vibramycin,Doxycycline,Vibramycin,10,units/mL,Injection,Topical,Beacon Life Sciences,Lipid Lowering,Y,2025-08-01,,DrugReferenceHub
DRG00031,27078116314,Ozempic,Semaglutide,Ozempic,10,mg/mL,Inhaler,Intravenous,Crescent Therapeutics,Endocrine,Y,2024-12-06,,DrugReferenceHub
DRG00032,65244152274,Glucophage,Metformin,Glucophage,25,mg,Suspension,Oral,Redwood Pharma,Neurologic,Y,2023-02-03,,DrugReferenceHub
DRG00033,42627468935,Lipitor,Atorvastatin,Lipitor,250,mg/mL,Capsule,Intravenous,Evergreen Labs,Antidiabetic,Y,2024-04-03,,DrugReferenceHub
DRG00034,84702528484,Prinivil,Lisinopril,Prinivil,1000,mcg,Suspension,Subcutaneous,Northstar Pharma,Endocrine,Y,2022-06-11,,DrugReferenceHub
